"abase","/əˈbeɪs/","v.","to lower the quality or esteem of something"
"abate","/əˈbeɪt/","v.","to reduce, lessen"
"abdicate","/ˈæbdɪkeɪt/","v.","to renounce a throne, power, or responsibility"
"abduct","/æbˈdʌkt/","v.","to kidnap"
"aberration","/ˌæbəˈreɪʃn/","n.","a deviation from the normal or expected"
"abet","/əˈbet/","v.","to assist or encourage, especially in a wrongdoing"
"abide","/əˈbaɪd/","v.","1. to accept or follow; 2. to remain"
"abhor","/əbˈhɔːr/","v.","to hate intensely"
"abject","/ˈæbdʒekt/","adj.","miserable, pitiful"
"abjure","/əbˈdʒʊər/","v.","to renounce or reject solemnly"
"abnegation","/ˌæbnɪˈɡeɪʃn/","n.","self-denial"
"abort","/əˈbɔːrt/","v.","to stop or end prematurely"
"abridge","/əˈbrɪdʒ/","v.","to shorten a text while retaining its essence"
"abrogate","/ˈæbrəɡeɪt/","v.","to repeal or abolish"
"abscond","/əbˈskɒnd/","v.","to leave secretly or suddenly"
"absolution","/ˌæbsəˈluːʃn/","n.","forgiveness or release from guilt"
"abstain","/əbˈsteɪn/","v.","to refrain from doing something"
"abstruse","/æbˈstruːs/","adj.","difficult to understand"
"accede","/əkˈsiːd/","v.","to agree or consent"
"accentuate","/əkˈsentʃueɪt/","v.","to emphasize or highlight"
"accessible","/əkˈsesəbl/","adj.","easily reached or obtained"
"acclaim","/əˈkleɪm/","n.","high praise"
"accolade","/ˈækəleɪd/","n.","an award or honor"
"accommodating","/əˈkɒmədeɪtɪŋ/","adj.","willing to help or adapt"
"accord","/əˈkɔːd/","n.","an agreement"
"accost","/əˈkɒst/","v.","to approach and speak to boldly"
"accretion","/əˈkriːʃn/","n.","the process of growing or accumulating"
"acerbic","/əˈsɜːrbɪk/","adj.","sharp or biting in tone"
"acquiesce","/ˌækwiˈes/","v.","to agree or comply passively"
"acrimony","/ˈækrɪməni/","n.","bitterness or ill will"
"acumen","/əˈkjuːmən/","n.","keen insight or judgment"
"acute","/əˈkjuːt/","adj.","1. severe; 2. sharp or perceptive"
"adamant","/ˈædəmənt/","adj.","unwilling to change one's mind"
"adept","/əˈdept/","adj.","skilled or proficient"
"adhere","/ədˈhɪr/","v.","1. to stick to something; 2. to follow devoutly"
"admonish","/ədˈmɒnɪʃ/","v.","to warn or reprimand gently"
"adorn","/əˈdɔːrn/","v.","to decorate"
"adroit","/əˈdrɔɪt/","adj.","skillful or clever"
"adulation","/ˌædjuˈleɪʃn/","n.","excessive praise"
"adumbrate","/ˈædʌmbreɪt/","v.","to outline or sketch"
"adverse","/ˈædvɜːrs/","adj.","unfavorable or harmful"
"advocate","/ˈædvəkeɪt/","v. / n.","1. to support or promote; 2. a person who argues in favor of something"
"aerial","/ˈeriəl/","adj.","relating to the air"
"aesthetic","/esˈθetɪk/","adj.","artistic or related to beauty"
"affable","/ˈæfəbl/","adj.","friendly or amiable"
"affinity","/əˈfɪnəti/","n.","a natural liking or attraction"
"affluent","/ˈæfluənt/","adj.","rich or wealthy"
"affront","/əˈfrʌnt/","n.","an insult"
"aggrandize","/əˈɡrændaɪz/","v.","to increase or enhance"
"aggregate","/ˈæɡrɪɡət/","n. / v.","1. a whole or total; 2. to gather into a mass"
"aggrieved","/əˈɡriːvd/","adj.","wronged or distressed"
"agile","/ˈædʒaɪl/","adj.","quick or nimble"
"agnostic","/æɡˈnɒstɪk/","adj.","believing that the existence of God is unprovable"
"agriculture","/ˈæɡrɪkʌltʃər/","n.","farming"
"aisle","/aɪl/","n.","a passageway between rows of seats"
"alacrity","/əˈlækrəti/","n.","eagerness or speed"
"alias","/ˈeɪliəs/","n.","a false name or identity"
"allay","/əˈleɪ/","v.","to soothe or ease"
"allege","/əˈledʒ/","v.","to assert without proof"
"alleviate","/əˈliːvieɪt/","v.","to relieve or make less severe"
"allocate","/ˈæləkeɪt/","v.","to distribute or set aside"
"aloof","/əˈluːf/","adj.","distant or reserved"
"altercation","/ˌɔːltərˈkeɪʃn/","n.","a dispute or fight"
"amalgamate","/əˈmælgəmeɪt/","v.","to unite or combine"
"ambiguous","/æmˈbɪɡjuəs/","adj.","unclear or having multiple meanings"
