"abajo","/aˈβaxo/","adv.","en un lugar inferior"
"abrir","/aˈβɾir/","v.","separar lo que estaba unido"
"acá","/aˈka/","adv.","en este lugar"
"acabar","/akaˈβaɾ/","v.","llegar al fin de algo"
"aceptar","/aθepˈtaɾ/","v.","admitir o recibir voluntariamente"
"acordar","/akoɾˈðaɾ/","v.","decidir algo entre varios"
"actuar","/akˈtwaɾ/","v.","hacer algo o realizar una acción"
"adelante","/aðeˈlante/","adv.","hacia el frente"
"adquirir","/aðkiˈɾiɾ/","v.","obtener algo para sí"
"afirmar","/afiɾˈmaɾ/","v.","declarar como cierto"
"agradable","/aɣɾaˈðaβle/","adj.","que produce gusto o satisfacción"
"agua","/ˈaɣwa/","s.f.","líquido transparente sin olor ni sabor"
"ahora","/aˈoɾa/","adv.","en este momento"
"alegre","/aˈleɣɾe/","adj.","que siente o muestra alegría"
"alemán","/aleˈman/","s.m.","idioma hablado en Alemania"
"algo","/ˈalɣo/","pron.","alguna cosa"
"alguien","/ˈalɣjen/","pron.","alguna persona"
"allá","/aˈʎa/","adv.","en aquel lugar"
"alto","/ˈalto/","adj.","de gran estatura"
"amar","/aˈmaɾ/","v.","sentir amor por alguien"
"amigo","/aˈmiɣo/","s.m.","persona con quien se tiene amistad"
"amplio","/ˈampljo/","adj.","que tiene gran extensión"
"ancho","/ˈantʃo/","adj.","que tiene mucha anchura"
"animal","/aniˈmal/","s.m.","ser vivo que se mueve por sí mismo"
"año","/ˈaɲo/","s.m.","período de doce meses"
"apagar","/apaˈɣaɾ/","v.","hacer que cese el fuego o la luz"
"aprender","/apɾenˈdeɾ/","v.","adquirir conocimiento"
"aquí","/aˈki/","adv.","en este lugar"
"árbol","/ˈaɾβol/","s.m.","planta de tronco leñoso"
"arena","/aˈɾena/","s.f.","partículas de roca muy pequeñas"
"asegurar","/aseɣuˈɾaɾ/","v.","hacer seguro o firme"
"así","/aˈsi/","adv.","de esta manera"
"atrás","/aˈtɾas/","adv.","en la parte posterior"
"aumentar","/aumenˈtaɾ/","v.","hacer mayor una cantidad"
"ayer","/aˈʝeɾ/","adv.","el día antes de hoy"
"ayudar","/aʝuˈðaɾ/","v.","prestar asistencia"
