"操你妈逼","cào nǐ mā bī","短语","极其粗俗的辱骂用语"
"干你娘","gàn nǐ niáng","短语","粗俗的性暗示辱骂"
"日死你妈","rì sǐ nǐ mā","短语","极端的性暗示辱骂"
"操你妈","cào nǐ mā","短语","常见的辱骂用语"
"操你妈个臭逼","cào nǐ mā gè chòu bī","短语","带有侮辱性的复合辱骂"
"你妈逼炸了","nǐ mā bī zhà le","短语","夸张的诅咒用语"
"你妈逼养的","nǐ mā bī yǎng de","短语","带有侮辱性的出身攻击"
"你妈死了","nǐ mā sǐ le","短语","直接的死亡诅咒"
"你妈阴道很舒服","nǐ mā yīn dào hěn shū fú","短语","极其下流的性暗示"
"你妈逼里长蛆","nǐ mā bī lǐ zhǎng qū","短语","极端的侮辱性描述"
"你妈逼被狗操","nǐ mā bī bèi gǒu cào","短语","兽交暗示的极端辱骂"
"你妈逼卖的","nǐ mā bī mài de","短语","暗示卖淫的侮辱"
"你妈逼里养蛆","nǐ mā bī lǐ yǎng qū","短语","带有腐烂暗示的辱骂"
"狗操的杂种","gǒu cào de zá zhǒng","短语","带有兽交暗示的出身攻击"
"你妈逼臭了","nǐ mā bī chòu le","短语","带有腐烂暗示的侮辱"
"操你妈全家","cào nǐ mā quán jiā","短语","针对整个家族的辱骂"
"日你祖宗","rì nǐ zǔ zōng","短语","针对祖先的性暗示辱骂"
"肏烂你妈","cào làn nǐ mā","短语","极端的性暗示辱骂"
"全家不得好死","quán jiā bù dé hǎo sǐ","短语","针对全家的死亡诅咒"
"自拍就是全家福","zì pāi jiù shì quán jiā fú","短语","恶毒的家族嘲讽"
"全家下地狱","quán jiā xià dì yù","短语","针对全家的诅咒"
"你全家都是畜生","nǐ quán jiā dōu shì chù shēng","短语","将全家比作动物的辱骂"
"你全家都是狗","nǐ quán jiā dōu shì gǒu","短语","将全家比作狗的辱骂"
"你死全家","nǐ sǐ quán jiā","短语","极端的家族死亡诅咒"
"你祖宗十八代都不得好死","nǐ zǔ zōng shí bā dài dōu bù dé hǎo sǐ","短语","针对多代祖先的诅咒"
"你全家去死","nǐ quán jiā qù sǐ","短语","直接的家族死亡诅咒"
"你祖宗全都死绝","nǐ zǔ zōng quán dōu sǐ jué","短语","针对祖先的灭绝诅咒"
"狗娘养的王八蛋","gǒu niáng yǎng de wáng bā dàn","短语","复合的出身和人格侮辱"
"杂种狗逼","zá zhǒng gǒu bī","短语","血统和性暗示的复合辱骂"
"王八犊子","wáng bā dú zi","短语","人格侮辱用语"
"狗操的","gǒu cào de","短语","兽交暗示的出身侮辱"
"猪狗不如的东西","zhū gǒu bù rú de dōng xi","短语","将人比作低于动物的辱骂"
"狗日的杂种","gǒu rì de zá zhǒng","短语","复合的辱骂用语"
"鸡巴玩意","jī bā wán yì","短语","性器官相关的侮辱"
"操你个王八蛋","cào nǐ gè wáng bā dàn","短语","复合的辱骂用语"
"你妈的臭逼狗","nǐ mā de chòu bī gǒu","短语","多重侮辱的复合用语"
"死狗东西","sǐ gǒu dōng xi","短语","将人比作死动物的辱骂"
"傻逼玩意","shǎ bī wán yì","短语","智力侮辱用语"
"二逼玩意","èr bī wán yì","短语","智力侮辱用语"
"死脑残","sǐ nǎo cán","短语","智力缺陷相关的辱骂"
"脑残废物","nǎo cán fèi wù","短语","智力和能力双重侮辱"
"智障狗","zhì zhàng gǒu","短语","智力障碍相关的辱骂"
"弱智东西","ruò zhì dōng xi","短语","智力侮辱用语"
"废物点心","fèi wù diǎn xin","短语","无能之人的嘲讽"
"人渣败类","rén zhā bài lèi","短语","人格和道德双重贬低"
"蠢货王八蛋","chǔn huò wáng bā dàn","短语","智力和人格复合辱骂"
"杂种操的","zá zhǒng cào de","短语","血统和出身双重侮辱"
"低能儿","dī néng ér","短语","智力侮辱用语"
"死肥猪","sǐ féi zhū","短语","体型相关的辱骂"
"死矮冬瓜","sǐ ǎi dōng guā","短语","身高相关的嘲讽"
"烂货一个","làn huò yí gè","短语","人格贬低的辱骂"
"臭不要脸","chòu bù yào liǎn","短语","道德品质的辱骂"
"逼养的玩意儿","bī yǎng de wán yì","phrase","vulgar origin insult"
"死妈脑瘫","sǐ mā nǎo tān","phrase","maternal death and disability insult"
