"أكل","/╩╗akala/","فعل","تناول الطعام"
"شرب","/╩āariba/","فعل","تناول السوائل"
"نوم","/nawma/","فعل","الراحة بإغلاق العينين"
"بيت","/bayt/","اسم","مكان السكن"
"كتاب","/kit─üb/","اسم","مجموعة أوراق مطبوعة"
"قلم","/qalam/","اسم","أداة للكتابة"
"مدرسة","/madrasa/","اسم","مكان التعلم"
"طالب","/─╣─ülib/","اسم","الشخص الذي يتعلم"
"معلم","/mu╩╗allim/","اسم","الشخص الذي يعلم"
"كبير","/kab─½r/","صفة","غير صغير"
"صغير","/a╩Ē─Ī─½r/","صفة","غير كبير"
"جميل","/jam─½l/","صفة","يُعجب الناظر"
"قبيح","/qab─½╩Ę/","صفة","لا يُعجب الناظر"
"سريع","/sar─½╩╗/","صفة","يقطع مسافة في وقت قصير"
"بطيء","/ba╩Ł─½╩╗/","صفة","غير سريع"
"سهل","/sahl/","صفة","غير صعب"
"صعب","/a╩Ē╩╗ab/","صفة","غير سهل"
"جديد","/jad─½d/","صفة","غير قديم"
"قديم","/qad─½m/","صفة","غير جديد"
"نظيف","/na╔╝─½f/","صفة","خالي من الأوساخ"
"وسخ","/wasikh/","صفة","غير نظيف"
"ساخن","/s─ükhin/","صفة","درجة حرارته مرتفعة"
"بارد","/b─ürid/","صفة","درجة حرارته منخفضة"
"طويل","/a╩Ław─½l/","صفة","غير قصير"
"قصير","/qa╩Ē─½r/","صفة","غير طويل"
"غني","/╔Īan─½/","صفة","يمتلك الكثير من المال"
"فقير","/faq─½r/","صفة","لا يمتلك الكثير من المال"
"قوي","/qaw─½/","صفة","يتمتع بالقوة"
"ضعيف","/da╩╗─½f/","صفة","غير قوي"
"سعيد","/sa╩╗─½d/","صفة","يشعر بالفرح"
"حزين","/a╩Ęz─½n/","صفة","يشعر بالحزن"
"مشغول","/mash╔Ī┼½l/","صفة","لديه الكثير من العمل"
"حر","/╩Ęurr/","صفة","غير عبد أو مسجون"
"صحيح","/a╩Ēa╩Ę─½╩Ę/","صفة","غير مريض"
"مريض","/mar─½╔╗/","صفة","غير صحيح الجسد"
"حار","/╩Ę─ürr/","صفة","ساخن بشدة"
"لطيف","/la╩Ł─½f/","صفة","دمث الأخلاق"
"ذكي","/╔░ak─½/","صفة","سريع الفهم"
"أب","/╩╗ab/","اسم","الوالد"
"أم","/╩╗umm/","اسم","الوالدة"
"أخ","/╩╗akh/","اسم","الابن غير الشقيق للوالدين"
"أخت","/╩╗ukht/","اسم","الابنة غير الشقيقة للوالدين"
"ولد","/walad/","اسم","طفل ذكر"
"بنت","/bint/","اسم","طفلة أنثى"
"رجل","/rajul/","اسم","إنسان بالغ ذكر"
"امرأة","/imra╩╗a/","اسم","إنسان بالغ أنثى"
