"贬低","biǎn dī","v.","降低某人或某物的价值或地位"
"减轻","jiǎn qīng","v.","减少、降低"
"退位","tuì wèi","v.","放弃王位、权力或责任"
"绑架","bǎng jià","v.","强行带走"
"偏差","piān chā","n.","偏离正常或预期的情况"
"教唆","jiào suō","v.","帮助或鼓励，尤指在错误行为中"
"遵守","zūn shǒu","v.","1. 接受或遵循；2. 保持"
"憎恶","zēng wù","v.","强烈厌恶"
"悲惨的","bēi cǎn de","adj.","可怜的、可悲的"
"克制","kè zhì","n.","自我否定"
"中止","zhōng zhǐ","v.","提前停止或结束"
"缩写","suō xiě","v.","在保留本质的同时缩短文本"
"废除","fèi chú","v.","撤销或废除"
"潜逃","qián táo","v.","秘密或突然离开"
"赦免","shè miǎn","n.","宽恕或免除罪责"
"弃权","qì quán","v.","克制自己不做某事"
"深奥的","shēn ào de","adj.","难以理解的"
"同意","tóng yì","v.","同意或赞成"
"强调","qiáng diào","v.","突出或着重"
"可访问的","kě fǎng wèn de","adj.","容易到达或获得的"
"赞扬","zàn yáng","n.","高度赞扬"
"荣誉","róng yù","n.","奖项或荣誉"
"乐于助人的","lè yú zhù rén de","adj.","愿意帮助或适应的"
"协议","xié yì","n.","协定"
"搭讪","dā shàn","v.","大胆地接近并说话"
"积累","jī lěi","n.","生长或积累的过程"
"尖刻的","jiān kè de","adj.","语气尖锐或辛辣的"
"默许","mò xǔ","v.","被动地同意或顺从"
"刻薄","kè bó","n.","怨恨或恶意"
"敏锐","mǐn ruì","n.","敏锐的洞察力或判断力"
"严重的","yán zhòng de","adj.","1. 剧烈的；2. 尖锐的或有洞察力的"
"坚定的","jiān dìng de","adj.","不愿意改变主意的"
"熟练的","shú liàn de","adj.","有技巧或熟练的"
"坚持","jiān chí","v.","1. 粘在某物上；2. 虔诚地遵循"
"告诫","gào jiè","v.","温和地警告或斥责"
"装饰","zhuāng shì","v.","美化"
"灵巧的","líng qiǎo de","adj.","有技巧或聪明的"
"奉承","fèng chéng","n.","过度赞扬"
"预示","yù shì","v.","概述或勾勒"
"不利的","bù lì de","adj.","不利或有害的"
"提倡","tí chàng","v. /n.","1. 支持或促进；2. 主张某事的人"
"空中的","kōng zhōng de","adj.","与空气有关的"
"美学的","měi xué de","adj.","艺术的或与美有关的"
"和蔼的","hé ǎi de","adj.","友好或亲切的"
"亲和力","qīn hé lì","n.","自然的喜好或吸引力"
"富裕的","fù yù de","adj.","富有的"
"侮辱","wǔ rǔ","n.","侮辱"
"夸大","kuā dà","v.","增加或提高"
"总计","zǒng jì","n. /v.","1. 整体或总数；2. 聚集为一个整体"
"受委屈的","shòu wěi qū de","adj.","被冤枉或苦恼的"
"敏捷的","mǐn jié de","adj.","快速或灵活的"
"不可知论者","bù kě zhī lùn zhě","adj.","认为上帝的存在无法证明的"
"农业","nóng yè","n.","耕种、务农"
"过道","guò dào","n.","座位排之间的通道"
"敏捷","mǐn jié","n.","渴望或速度"
"别名","bié míng","n.","假名或身份"
"减轻","jiǎn qīng","v.","安慰或缓解"
"声称","shēng chēng","v.","无证据地断言"
"减轻","jiǎn qīng","v.","减轻或使不那么严重"
"分配","fēn pèi","v.","分发或留出"
"冷漠的","lěng mò de","adj.","疏远或矜持的"
"争吵","zhēng chǎo","n.","争执或打架"
"合并","hé bìng","v.","联合或结合"
"模棱两可的","mó léng liǎng kě de","adj.","不清楚或有多种含义的"
"矛盾的","máo dùn de","adj.","有复杂情感的"
"改善","gǎi shàn","v.","改进"
"顺从的","shùn cóng de","adj.","愿意遵守的"
"便利设施","biàn lì shè shī","n.","舒适或便利"
"和蔼可亲的","hé ǎi kě qīn de","adj.","友好的"
"友好的","yǒu hǎo de","adj.","和平或友好的"
"多情的","duō qíng de","adj.","表现出爱或欲望的"
"无定形的","wú dìng xíng de","adj.","无形状或无结构的"
"时代错误的","shí dài cuò wù de","adj.","时间顺序错误的"
"止痛药","zhǐ tòng yào","n.","缓解疼痛的药物"
"类似的","lèi sì de","adj.","相似或可比的"
"无政府主义者","wú zhèng fǔ zhǔ yì zhě","n.","反对一切政府的人"
"诅咒","zǔ zhòu","n.","诅咒或可憎之物"
"轶事","yì shì","n.","简短有趣的故事"
"麻醉","má zuì","n.","感觉丧失"
"痛苦","tòng kǔ","n.","极度痛苦或疼痛"
"活泼的","huó pō de","adj.","充满活力的"
"附加","fù jiā","v. /n.","1. 添加或附加；2. 建筑物的附加部分"
"废除","fèi chú","v.","取消或使无效"
"异常","yì cháng","n.","偏离正常的事物"
"匿名的","nì míng de","adj.","未知或无法识别的"
"敌意","dí yì","n.","敌对或反对"
"前提","qián tí","n.","在… 之前出现的事物"
